"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","day","will","war","now","law","world","nation","can","public","shall","govern","countri","peopl","use","men"
"2","man","new","great","time","upon","freedom","right","must","govern","will","power","exist","liberti","industri","live"
"3","stand","america","unit","year","parti","peac","polici","one","may","duti","state","great","spirit","countri","life"
"4","hand","american","state","great","congress","nation","equal","citizen","without","may","constitut","everi","upon","peopl","work"
"5","god","let","made","chang","constitut","free","foreign","everi","necessari","offic","union","experi","happi","need","american"
"6","presid","make","forc","come","execut","human","justic","make","revenu","support","right","caus","civil","product","must"
"7","faith","togeth","territori","futur","question","hope","interest","good","requir","servic","general","danger","found","labor","land"
"8","today","old","extend","thing","legisl","help","peac","like","secur","best","feder","present","order","encourag","long"
"9","first","promis","defens","centuri","may","strength","relat","other","protect","trust","within","mani","republ","condit","find"
"10","heart","respons","part","still","effect","seek","maintain","never","demand","give","unit","charact","full","econom","know"
"11","histori","better","sinc","continu","elect","secur","ever","person","interest","oblig","object","patriot","prosper","trade","mean"
"12","time","bring","countri","last","subject","democraci","honor","polit","proper","upon","author","much","bless","care","call"
"13","place","work","arm","believ","control","know","among","well","tax","faith","preserv","result","less","home","children"
"14","just","ideal","popul","look","enforc","strong","just","individu","economi","confid","system","section","true","increas","way"
"15","ask","act","treati","past","differ","common","alway","without","larg","administr","limit","import","principl","effort","even"
"16","word","turn","engag","problem","depart","advanc","everi","anoth","provid","execut","exercis","influenc","institut","natur","million"
"17","moment","generat","might","yet","opinion","strengthen","never","race","far","principl","form","interest","free","resourc","see"
"18","fellow","lead","militari","need","instrument","achiev","intern","constant","expenditur","fellowcitizen","domest","howev","enjoy","improv","hope"
"19","oath","opportun","point","much","express","believ","desir","noth","money","countrymen","whole","whose","love","commerc","beyond"
"20","good","build","becom","action","rule","mankind","respect","perman","made","call","concern","circumst","success","purpos","famili"
